Jurisdiction,Agenda Page
Piedmont,http://piedmont.hosted.civiclive.com/cms/One.aspx?portalId=13659823&pageId=14120431
Piedmont,https://piedmont.ca.gov/government/commissions___committees/planning_commission
Albany,https://www.albanyca.org/our-city/kalb-community-media/city-council-video-and-agendas
Albany,https://www.albanyca.org/government/council-advisory-body-documents/advisory-body-documents/-folder-612#docan1734_6194_4044
Emeryville,https://www.ci.emeryville.ca.us/88/Video-Agendas-Reports-Minutes-Archive
Emeryville,http://www.emeryville.org/104/Planning-Commission
Newark,https://www.newark.org/departments/city-manager-s-office/agendas-minutes
Union City,https://www.unioncity.org/199/City-Meetings-Video
Dublin,https://dublin.ca.gov/82/City-Council-Meetings
Dublin,https://www.dublin.ca.gov/83/Planning-Commission
San Leandro,https://sanleandro.legistar.com/Calendar.aspx
Livermore,https://www.livermoreca.gov/departments/city-clerk/city-council-meeting-calendar-agendas
Livermore,https://www.livermoreca.gov/departments/city-clerk/city-council-meeting-calendar-agendas
Hayward,https://hayward.legistar.com/Calendar.aspx
Alameda,https://alameda.legistar.com/Calendar.aspx
Pleasanton,http://weblink.cityofpleasantonca.gov/weblink/Browse.aspx?startid=84829&cr=1
Pleasanton,http://www.cityofpleasantonca.gov/gov/depts/cd/planning/commission/default.asp
Berkeley,https://www.cityofberkeley.info/Clerk/Commissions/Commissions__Planning_Commission_Homepage.aspx
Berkeley,https://www.cityofberkeley.info/berkmtg/
Fremont,https://www.fremont.gov/government/agenda-center
Fremont,https://www.fremont.gov/government/agenda-center/planning-commission
Oakland,https://oakland.legistar.com/calendar.aspx
Oakland,https://www.oaklandca.gov/boards-commissions/planning-commission/meetings
Alameda County,https://bos.acgov.org/regular-meetings/
Unincorporated,https://www.acgov.org/cda/planning/agendas.htm
Albany,https://www.albanyca.org/our-city/kalb-community-media/public-meeting-video-and-agendas
Emeryville,https://www.ci.emeryville.ca.us/citycouncil
Newark,https://www.newark.org/departments/city-manager-s-office/agendas-minutes
Dublin,https://dublin.ca.gov/1604/Meetings-Agendas-Minutes-Video-on-Demand
San Leandro,https://sanleandro.legistar.com/Calendar.aspx
Livermore,https://www.livermoreca.gov/departments/city-clerk/advisory-bodies/planning-commission
Alameda,https://www.alamedaca.gov/GOVERNMENT/Agendas-Minutes-Announcements
Pleasanton,https://www.cityofpleasantonca.gov/our-government/mayor-city-council/#meetings-city-council-agenda
Pleasanton,http://www.cityofpleasantonca.gov/gov/depts/cd/planning/commission/media_page.asp
Fremont,https://www.fremont.gov/government/agenda-center/city-council
Oakland,https://www.oaklandca.gov/services/view-city-council-meeting-schedule-agendas-minutes-and-video
Plymouth,https://cityofplymouth.org/agendas-and-reports/
Sutter Creek,https://cityofsuttercreek.org/agendas-minutes/
Ione,https://www.ione-ca.com/city-government/agendas-and-reports
Ione,https://www.ione-ca.com/city-government/planning-commission
Jackson,https://www.ci.jackson.ca.us/city_services/city_clerk_records.php#outer-187sub-1195
Jackson,https://www.ci.jackson.ca.us/city_services/city_clerk_records.php#
Amador City,https://amador-city.com/government-agendas-minutes/
Biggs,https://www.biggs-ca.gov/Government/Agendas--Minutes/index.html
Chico,https://chico.ca.us/post/2021-agendas
Chico,https://chico.ca.us/agendas-minutes
Gridley,http://gridley.ca.us/government-and-departments/city-council/
Gridley,http://gridley.ca.us/government-and-departments/planning-commission/
Oroville,https://www.cityoforoville.org/government/agendas-minutes
Paradise,https://www.townofparadise.com/meetings
Chico,http://chico-ca.granicus.com/ViewPublisher.php?view_id=2
Butte County,https://www.buttecounty.net/335/Board-of-Supervisors-Meeting-Information
Butte County,https://www.buttecounty.net/543/Planning-Commission-PC
Pinole,"https://www.ci.pinole.ca.us/cms/one.aspx?pageId=14626563 
https://www.pinole.gov/city-government/city-council/meeting-agendas/"
Clayton,"https://ci.clayton.ca.us/city-clerk-department/city-council/city-council-agendas/
https://www.pinole.gov/city-government/city-council/meeting-agendas/"
Clayton,https://claytonca.gov/government/commissions-and-committees/#pc-desc
Hercules,https://hercules.legistar.com/Calendar.aspx
San Pablo,https://www.sanpabloca.gov/1400/City-CouncilLSA-Planning-Comm-AgendasMin
San Pablo,https://sanpablo.legistar.com/Calendar.aspx
Oakley,https://www.ci.oakley.ca.us/agendas-minutes-videos-archive/
Moraga,https://www.moraga.ca.us/AgendaCenter/Planning-Commission-9
Moraga,https://www.moraga.ca.us/AgendaCenter/
Martinez,https://www.cityofmartinez.org/gov/meetings.asp
Orinda,http://orindaca.iqm2.com/Citizens/Board/1000-City-Council
Orinda,http://orindaca.iqm2.com/Citizens/Default.aspx
El Cerrito,http://ca-elcerrito2.civicplus.com/482/Council-Meeting-Videos-Materials
El Cerrito,https://www.el-cerrito.org/Archive.aspx?AMID=45
Brentwood,https://www.brentwoodca.gov/government/city-manager/city-clerk/council-meetings-online
Pleasant Hill,https://www.ci.pleasant-hill.ca.us/Archive.aspx?AMID=30
Pleasant Hill,https://www.ci.pleasant-hill.ca.us/Archive.aspx?AMID=32&Type=&ADID=
Pittsburg,http://www.ci.pittsburg.ca.us/index.aspx?page=534
Pittsburg,https://onbaseweb.pittsburgca.gov/OnBaseAgendaOnline
Lafayette,https://www.planlafayette.org/get-involved
Lafayette,https://www.lovelafayette.org/city-hall/city-council/city-council-meetings
Lafayette,https://www.lovelafayette.org/city-hall/commissions-committees/planning-commission
Danville,https://www.danville.ca.gov/129/Agendas-Minutes
Antioch,https://www.antiochca.gov/government/agendas-and-minutes/planning-commission/
Antioch,https://www.antiochca.gov/government/agendas-and-minutes/city-council/
Richmond,http://www.ci.richmond.ca.us/2864/Planning-Commission
Richmond,https://www.ci.richmond.ca.us/151/Council-Agenda-Documents
San Ramon,http://sanramonca.iqm2.com/Citizens/Board/1015-Planning-Commission
San Ramon,http://sanramonca.iqm2.com/citizens/default.aspx?
