place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-26 00:00:00,,City Council,civicplus_www_03262025-1346,"Regular Meeting Agenda - March 26, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_03262025-1346,civic-scraper_0.1.0,application/pdf,247076
no_data,,no_data,2025-03-20 00:00:00,,City Council,civicplus_www_03202025-1344,"Special Meeting Agenda - Potter Valley Project Town Hall - March 20, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_03202025-1344,civic-scraper_0.1.0,application/pdf,266309
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-1341,"Regular Meeting Agenda - March 12, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_03122025-1341,civic-scraper_0.1.0,application/pdf,80387
no_data,,no_data,2025-02-26 00:00:00,,City Council,civicplus_www_02262025-1339,"Regular Meeting Agenda - February 26, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_02262025-1339,civic-scraper_0.1.0,application/pdf,244789
no_data,,no_data,2025-02-12 00:00:00,,City Council,civicplus_www_02122025-1336,"Regular Meeting Agenda - February 12, 2024",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_02122025-1336,civic-scraper_0.1.0,application/pdf,246676
no_data,,no_data,2025-01-22 00:00:00,,City Council,civicplus_www_01222025-1334,"Regular Meeting Agenda - January 22, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_01222025-1334,civic-scraper_0.1.0,application/pdf,86007
no_data,,no_data,2025-01-08 00:00:00,,City Council,civicplus_www_01082025-1333,"Regular Meeting Agenda - January 8, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_01082025-1333,civic-scraper_0.1.0,application/pdf,74245
no_data,,no_data,2025-03-11 00:00:00,,Council Subcommittee - Administration,civicplus_www_03112025-1342,"Regular Meeting Agenda - March 11, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_03112025-1342,civic-scraper_0.1.0,application/pdf,58782
no_data,,no_data,2025-02-11 00:00:00,,Council Subcommittee - Administration,civicplus_www_02112025-1337,"Regular Meeting Agenda - February 11, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_02112025-1337,civic-scraper_0.1.0,application/pdf,239201
no_data,,no_data,2024-11-06 00:00:00,,Council Subcommittee - Homelessness Community Advisory Group,civicplus_www_11062024-1322,"Special Meeting Agenda - November 6, 2024",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_11062024-1322,civic-scraper_0.1.0,application/pdf,214342
no_data,,no_data,2024-10-14 00:00:00,,Council Subcommittee - Homelessness Community Advisory Group,civicplus_www_10142024-1319,Cancelled,agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_10142024-1319,civic-scraper_0.1.0,application/pdf,210713
no_data,,no_data,2024-10-14 00:00:00,,Council Subcommittee - Homelessness Community Advisory Group,civicplus_www_10142024-1319,Cancelled,minutes,https://www.cloverdale.net/AgendaCenter/ViewFile/Minutes/_10142024-1319,civic-scraper_0.1.0,image/jpeg,304611
no_data,,no_data,2024-06-10 00:00:00,,Council Subcommittee - Homelessness Community Advisory Group,civicplus_www_06102024-1286,"Regular Meeting Agenda - June 10, 2024",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_06102024-1286,civic-scraper_0.1.0,application/pdf,231144
no_data,,no_data,2025-03-25 00:00:00,,Council Subcommittee - Infrastructure,civicplus_www_03252025-1345,"Regular Meeting Agenda - March 25, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_03252025-1345,civic-scraper_0.1.0,application/pdf,228519
no_data,,no_data,2025-02-25 00:00:00,,Council Subcommittee - Infrastructure,civicplus_www_02252025-1338,"Regular Meeting Agenda - February 25, 2025",agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_02252025-1338,civic-scraper_0.1.0,application/pdf,279751
no_data,,no_data,2025-03-18 00:00:00,,Council Subcommittee - Joint City / CUSD,civicplus_www_03182025-1343,Cancellation Notice,agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_03182025-1343,civic-scraper_0.1.0,application/pdf,211132
no_data,,no_data,2024-09-26 00:00:00,,Other Workshops & Community Meetings,civicplus_www_09262024-1314,City Council Candidate Forum - 2024 - Hosted by the Cloverdale Chamber of Commerce,agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_09262024-1314?html=true,civic-scraper_0.1.0,text/html,819
no_data,,no_data,2024-09-26 00:00:00,,Other Workshops & Community Meetings,civicplus_www_09262024-1314,City Council Candidate Forum - 2024 - Hosted by the Cloverdale Chamber of Commerce,agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_09262024-1314,civic-scraper_0.1.0,application/pdf,1761
no_data,,no_data,2024-09-26 00:00:00,,Other Workshops & Community Meetings,civicplus_www_09262024-1314,City Council Candidate Forum - 2024 - Hosted by the Cloverdale Chamber of Commerce,agenda_packet,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_09262024-1314?packet=true,civic-scraper_0.1.0,application/pdf,1765
no_data,,no_data,2024-09-04 00:00:00,,Other Workshops & Community Meetings,civicplus_www_09042024-1309,City Council Candidate Forum - 2024 - Hosted by Sonoma County League of Women Voters,agenda,https://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_09042024-1309?html=true,civic-scraper_0.1.0,text/html,819
