place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-18 00:00:00,,City Council,civicplus_www_03182025-453,City Council Regular Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_03182025-453,civic-scraper_0.1.0,application/pdf,292367062
no_data,,no_data,2025-03-11 00:00:00,,City Council,civicplus_www_03112025-451,City Council Special Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_03112025-451,civic-scraper_0.1.0,application/pdf,292352
no_data,,no_data,2025-03-04 00:00:00,,City Council,civicplus_www_03042025-448,City Council Regular Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_03042025-448,civic-scraper_0.1.0,application/pdf,2849365
no_data,,no_data,2025-02-24 00:00:00,,City Council,civicplus_www_02242025-447,City Council Special Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_02242025-447,civic-scraper_0.1.0,application/pdf,1619357
no_data,,no_data,2025-02-18 00:00:00,,City Council,civicplus_www_02182025-446,City Council Regular Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_02182025-446,civic-scraper_0.1.0,application/pdf,17560480
no_data,,no_data,2025-02-04 00:00:00,,City Council,civicplus_www_02042025-445,City Council Regular Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_02042025-445,civic-scraper_0.1.0,application/pdf,18388557
no_data,,no_data,2025-01-21 00:00:00,,City Council,civicplus_www_01212025-444,City Council Regular Meeting Agenda (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_01212025-444,civic-scraper_0.1.0,application/pdf,27518353
no_data,,no_data,2025-01-07 00:00:00,,City Council,civicplus_www_01072025-443,City Council Regular Meeting - Cancellation Notice (PDF),agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_01072025-443,civic-scraper_0.1.0,application/pdf,605944
no_data,,no_data,2025-03-17 00:00:00,,Planning Commission,civicplus_www_03172025-452,"Regular Planning Commission Meeting - March 17, 2025",agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_03172025-452,civic-scraper_0.1.0,application/pdf,11091199
no_data,,no_data,2025-02-17 00:00:00,,Planning Commission,civicplus_www_02172025-450,Planning Commission Regular Meeting - Cancellation Notice,agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_02172025-450,civic-scraper_0.1.0,application/pdf,144118
no_data,,no_data,2025-01-20 00:00:00,,Planning Commission,civicplus_www_01202025-449,Planning Commission Regular Meeting - Cancellation Notice,agenda,https://www.cityofcudahy.com/AgendaCenter/ViewFile/Agenda/_01202025-449,civic-scraper_0.1.0,application/pdf,144063
