place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
monte,,no_data,2024-07-31 00:00:00,,Art in Public Places Advisory Committee,civicplus_www_07312024-1175,Art in Public Places Agenda,agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_07312024-1175,civic-scraper_0.1.0,application/pdf,242673
monte,,no_data,2024-05-08 00:00:00,,Art in Public Places Advisory Committee,civicplus_www_05082024-1142,Art in Public Places Agenda,agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_05082024-1142,civic-scraper_0.1.0,application/pdf,710385
monte,,no_data,2025-03-26 00:00:00,,City Council,civicplus_www_03262025-1256,"City Council Regular Meeting of March 26, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_03262025-1256,civic-scraper_0.1.0,application/pdf,107163826
monte,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-1252,"City Council Regular Meeting of March 12, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_03122025-1252,civic-scraper_0.1.0,application/pdf,21671539
monte,,no_data,2025-02-26 00:00:00,,City Council,civicplus_www_02262025-1245,"City Council Regular Meeting of February 26, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_02262025-1245,civic-scraper_0.1.0,application/pdf,13908417
monte,,no_data,2025-02-12 00:00:00,,City Council,civicplus_www_02122025-1243,"City Council Regular Meeting of February 12, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_02122025-1243,civic-scraper_0.1.0,application/pdf,19483131
monte,,no_data,2025-02-01 00:00:00,,City Council,civicplus_www_02012025-1239,"City Council Special Meeting of February 1, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_02012025-1239,civic-scraper_0.1.0,application/pdf,339908
monte,,no_data,2025-02-01 00:00:00,,City Council,civicplus_www_02012025-1239,"City Council Special Meeting of February 1, 2025",minutes,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Minutes/_02012025-1239,civic-scraper_0.1.0,application/pdf,107916
monte,,no_data,2025-01-27 00:00:00,,City Council,civicplus_www_01272025-1234,"City Council Special Meeting of January 27, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_01272025-1234,civic-scraper_0.1.0,application/pdf,18769745
monte,,no_data,2025-01-27 00:00:00,,City Council,civicplus_www_01272025-1234,"City Council Special Meeting of January 27, 2025",minutes,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Minutes/_01272025-1234,civic-scraper_0.1.0,application/pdf,116469
monte,,no_data,2025-01-22 00:00:00,,City Council,civicplus_www_01222025-1231,"City Council Regular Meeting of January 22, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_01222025-1231,civic-scraper_0.1.0,application/pdf,21524650
monte,,no_data,2025-01-22 00:00:00,,City Council,civicplus_www_01222025-1231,"City Council Regular Meeting of January 22, 2025",minutes,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Minutes/_01222025-1231,civic-scraper_0.1.0,application/pdf,130610
monte,,no_data,2025-01-08 00:00:00,,City Council,civicplus_www_01082025-1224,"City Council Regular Meeting of January 8, 2025",agenda,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Agenda/_01082025-1224,civic-scraper_0.1.0,application/pdf,59515565
monte,,no_data,2025-01-08 00:00:00,,City Council,civicplus_www_01082025-1224,"City Council Regular Meeting of January 8, 2025",minutes,https://www.ci.el-monte.ca.us/AgendaCenter/ViewFile/Minutes/_01082025-1224,civic-scraper_0.1.0,application/pdf,131914
