place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-27 00:00:00,,City Council,civicplus_www_03272025-930,Special Meeting - Strategic Planning Session,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03272025-930,civic-scraper_0.1.0,application/pdf,187211
no_data,,no_data,2025-03-18 00:00:00,,City Council,civicplus_www_03182025-926,Regular City Council Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03182025-926,civic-scraper_0.1.0,application/pdf,47251141
no_data,,no_data,2025-03-04 00:00:00,,City Council,civicplus_www_03042025-920,Regular City Council meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03042025-920,civic-scraper_0.1.0,application/pdf,3081832
no_data,,no_data,2025-02-18 00:00:00,,City Council,civicplus_www_02182025-916,Regular City Council Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02182025-916,civic-scraper_0.1.0,application/pdf,82428233
no_data,,no_data,2025-02-06 00:00:00,,City Council,civicplus_www_02062025-912,Special Meeting - Committee Interviews,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02062025-912,civic-scraper_0.1.0,application/pdf,127949
no_data,,no_data,2025-02-04 00:00:00,,City Council,civicplus_www_02042025-911,Regular City Council Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02042025-911,civic-scraper_0.1.0,application/pdf,25171866
no_data,,no_data,2025-01-27 00:00:00,,City Council,civicplus_www_01272025-908,Special City Council Meeting - Committee / Commission Interviews,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_01272025-908,civic-scraper_0.1.0,application/pdf,128506
no_data,,no_data,2025-01-21 00:00:00,,City Council,civicplus_www_01212025-906,Regular City Council Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_01212025-906,civic-scraper_0.1.0,application/pdf,18607528
no_data,,no_data,2025-01-15 00:00:00,,City Council,civicplus_www_01152025-904,Special City Council Meeting - Committee Interviews,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_01152025-904,civic-scraper_0.1.0,application/pdf,128569
no_data,,no_data,2025-03-20 00:00:00,,Fountain Valley Community Foundation,civicplus_www_03202025-927,Community Foundation Regular meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03202025-927,civic-scraper_0.1.0,application/pdf,6741459
no_data,,no_data,2025-02-20 00:00:00,,Fountain Valley Community Foundation,civicplus_www_02202025-917,Community Foundation Regular Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02202025-917,civic-scraper_0.1.0,application/pdf,7468643
no_data,,no_data,2025-01-16 00:00:00,,Fountain Valley Community Foundation,civicplus_www_01162025-905,Community Foundation Regular Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_01162025-905,civic-scraper_0.1.0,application/pdf,2760569
no_data,,no_data,2025-03-05 00:00:00,,Housing & Community Development Advisory Board,civicplus_www_03052025-919,Housing and Community Development Advisory Board Meeting - Cancelled,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03052025-919,civic-scraper_0.1.0,application/pdf,76321
no_data,,no_data,2025-02-05 00:00:00,,Housing & Community Development Advisory Board,civicplus_www_02052025-910,Housing and Community Development Advisory Board Meeting Agenda Packet,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02052025-910,civic-scraper_0.1.0,application/pdf,28770595
no_data,,no_data,2025-01-01 00:00:00,,Housing & Community Development Advisory Board,civicplus_www_01012025-897,Housing and Community Development Advisory Board Meeting - Cancelled,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_01012025-897,civic-scraper_0.1.0,application/pdf,76914
no_data,,no_data,2024-10-23 00:00:00,,Measure HH Oversight Committee,civicplus_www_10232024-885,Special meeting of the Measure HH Advisory Committee,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_10232024-885,civic-scraper_0.1.0,application/pdf,182409
no_data,,no_data,2024-09-12 00:00:00,,Measure HH Oversight Committee,civicplus_www_09122024-877,Measure HH Advisory Oversight Committee Meeting,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_09122024-877,civic-scraper_0.1.0,application/pdf,165712
no_data,,no_data,2024-05-16 00:00:00,,Measure HH Oversight Committee,civicplus_www_05162024-858,Measure HH Committee Meeting,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_05162024-858,civic-scraper_0.1.0,application/pdf,186332
no_data,,no_data,2025-03-21 00:00:00,,Orange County Power Authority,civicplus_www_03212025-928,Orange County Power Authority Special Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03212025-928,civic-scraper_0.1.0,application/pdf,214137
no_data,,no_data,2025-03-06 00:00:00,,Orange County Power Authority,civicplus_www_03062025-923,MEETING OF THE LEGISLATIVE AND REGULATORY COMMITTEE,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03062025-923,civic-scraper_0.1.0,application/pdf,250796
no_data,,no_data,2025-03-03 00:00:00,,Orange County Power Authority,civicplus_www_03032025-922,MEETING OF THE MARKETING AND COMMUNICATIONS COMMITTEE,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_03032025-922,civic-scraper_0.1.0,application/pdf,248022
no_data,,no_data,2025-02-10 00:00:00,,Orange County Power Authority,civicplus_www_02102025-914,OCPA Community Advisory Committee Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02102025-914,civic-scraper_0.1.0,application/pdf,172026
no_data,,no_data,2025-02-10 00:00:00,,Orange County Power Authority,civicplus_www_02102025-915,Regular Meeting Agenda,agenda,https://www.fountainvalley.org/AgendaCenter/ViewFile/Agenda/_02102025-915,civic-scraper_0.1.0,application/pdf,209530
