place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-25 00:00:00,,City Council,civicplus_ci_03252025-787,"March 25, 2025 City Council Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03252025-787,civic-scraper_0.1.0,application/pdf,1093640
no_data,,no_data,2025-03-11 00:00:00,,City Council,civicplus_ci_03112025-783,"March 11, 2025 City Council Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03112025-783,civic-scraper_0.1.0,application/pdf,6497289
no_data,,no_data,2025-02-25 00:00:00,,City Council,civicplus_ci_02252025-781,"February 25, 2025 City Council Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_02252025-781,civic-scraper_0.1.0,application/pdf,2466482
no_data,,no_data,2025-02-11 00:00:00,,City Council,civicplus_ci_02112025-778,"February 11, 2025 City Council Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_02112025-778,civic-scraper_0.1.0,application/pdf,9567912
no_data,,no_data,2025-01-28 00:00:00,,City Council,civicplus_ci_01282025-775,"January 28, 2025 City Council Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_01282025-775,civic-scraper_0.1.0,application/pdf,3844040
no_data,,no_data,2025-01-14 00:00:00,,City Council,civicplus_ci_01142025-774,"January 14, 2025 City Council Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_01142025-774,civic-scraper_0.1.0,application/pdf,5456564
no_data,,no_data,2024-10-21 00:00:00,,Greenfield Parks & Recreation,civicplus_ci_10212024-761,Special Parks and Recreation Committee Meeting 10/21/2024,agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_10212024-761,civic-scraper_0.1.0,application/vnd.openxmlformats-officedocument.wordprocessingml.document,43483
no_data,,no_data,2025-03-25 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_03252025-788,"March 25, 2025 Arroyo Seco GSA Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03252025-788,civic-scraper_0.1.0,application/pdf,624743
no_data,,no_data,2025-03-13 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_03132025-785,"March 13, 2025 Arroyo Seco GSA Advisory Committee Special Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03132025-785,civic-scraper_0.1.0,application/pdf,673213
no_data,,no_data,2025-03-12 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_03122025-784,"March 12, 2025 Arroyo Seco GSA Advisory Committee Agenda-Cancelled",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03122025-784,civic-scraper_0.1.0,application/pdf,45379
no_data,,no_data,2025-02-25 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_02252025-780,"February 25, 2025 Arroyo Seco GSA Meeting - Cancelled",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_02252025-780,civic-scraper_0.1.0,application/pdf,33777
no_data,,no_data,2025-02-12 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_02122025-779,"February 12, 2025 Arroyo Seco GSA Advisory Meeting - Cancelled",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_02122025-779,civic-scraper_0.1.0,application/pdf,45379
no_data,,no_data,2025-01-28 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_01282025-776,"January 28, 2025 Arroyo Seco GSA Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_01282025-776,civic-scraper_0.1.0,application/pdf,3911983
no_data,,no_data,2025-01-08 00:00:00,,Groundwater Sustainability Agency,civicplus_ci_01082025-773,"January 8, 2025 Arroyo Seco GSA Advisory Committee Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_01082025-773,civic-scraper_0.1.0,application/pdf,80588
no_data,,no_data,2025-03-03 00:00:00,,Planning Commission,civicplus_ci_03032025-782,"March 3rd, 2025, Planning Commission Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03032025-782,civic-scraper_0.1.0,application/pdf,22658427
no_data,,no_data,2025-02-04 00:00:00,,Planning Commission,civicplus_ci_02042025-777,"February 4, 2025, Planning Commission Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_02042025-777,civic-scraper_0.1.0,application/pdf,5966734
no_data,,no_data,2025-01-07 00:00:00,,Planning Commission,civicplus_ci_01072025-772,"January 7, 2025, Planning Commission Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_01072025-772,civic-scraper_0.1.0,application/pdf,6145912
no_data,,no_data,2025-03-20 00:00:00,,South Salinas Valley Broadband Authority,civicplus_ci_03202025-786,"March 20, 2025 SSVBA Agenda",agenda,https://ci.greenfield.ca.us/AgendaCenter/ViewFile/Agenda/_03202025-786,civic-scraper_0.1.0,application/pdf,277462
