place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-10 00:00:00,,City Council,civicplus_www_03102025-1356,City Council Meeting Agenda Packet 03-10-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_03102025-1356,civic-scraper_0.1.0,application/pdf,25107721
no_data,,no_data,2025-02-24 00:00:00,,City Council,civicplus_www_02242025-1353,CANCELLED: Information Session: Emergency Preparedness,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_02242025-1353,civic-scraper_0.1.0,application/pdf,180250
no_data,,no_data,2025-02-12 00:00:00,,City Council,civicplus_www_02122025-1351,City Council Special Meeting Agenda Packet - Goal Setting 02-12-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_02122025-1351,civic-scraper_0.1.0,application/pdf,2510075
no_data,,no_data,2025-02-10 00:00:00,,City Council,civicplus_www_02102025-1350,City Council Meeting Agenda Packet 02-10-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_02102025-1350,civic-scraper_0.1.0,application/pdf,32721757
no_data,,no_data,2025-01-27 00:00:00,,City Council,civicplus_www_01272025-1348,City Council Meeting - Study Session Agenda 01-27-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_01272025-1348,civic-scraper_0.1.0,application/pdf,222630
no_data,,no_data,2025-01-27 00:00:00,,City Council,civicplus_www_01272025-1348,City Council Meeting - Study Session Agenda 01-27-2025,minutes,https://www.hillsborough.net/AgendaCenter/ViewFile/Minutes/_01272025-1348,civic-scraper_0.1.0,application/pdf,166416
no_data,,no_data,2025-01-13 00:00:00,,City Council,civicplus_www_01132025-1346,City Council Meeting Agenda Packet 1-13-2025 (Revised),agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_01132025-1346,civic-scraper_0.1.0,application/pdf,11568604
no_data,,no_data,2025-03-03 00:00:00,,Architecture and Design Review Board,civicplus_www_03032025-1352,"March 3, 2025 Architecture and Design Review Board Agenda Meeting Packet",agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_03032025-1352,civic-scraper_0.1.0,application/pdf,19025564
no_data,,no_data,2025-01-27 00:00:00,,Architecture and Design Review Board,civicplus_www_01272025-1347,"January 27, 2025 Architecture and Design Review Board Agenda Meeting Packet",agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_01272025-1347,civic-scraper_0.1.0,application/pdf,180838940
no_data,,no_data,2025-03-11 00:00:00,,Citizens Communication Advisory Committee,civicplus_www_03112025-1355,Meeting Agenda 3-11-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_03112025-1355,civic-scraper_0.1.0,application/pdf,190254
no_data,,no_data,2025-02-11 00:00:00,,Citizens Communication Advisory Committee,civicplus_www_02112025-1349,Meeting Agenda 2-11-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_02112025-1349,civic-scraper_0.1.0,application/pdf,6945331
no_data,,no_data,2025-01-14 00:00:00,,Citizens Communication Advisory Committee,civicplus_www_01142025-1345,Meeting Agenda 1-14-2025,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_01142025-1345,civic-scraper_0.1.0,application/pdf,189039
no_data,,no_data,2024-12-03 00:00:00,,Financial Advisory Committee,civicplus_www_12032024-1341,Financial Advisory Committee Agenda Packet 12-03-2024,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_12032024-1341,civic-scraper_0.1.0,application/pdf,5629173
no_data,,no_data,2024-12-03 00:00:00,,Financial Advisory Committee,civicplus_www_12032024-1341,Financial Advisory Committee Agenda Packet 12-03-2024,minutes,https://www.hillsborough.net/AgendaCenter/ViewFile/Minutes/_12032024-1341,civic-scraper_0.1.0,application/pdf,5471698
no_data,,no_data,2024-08-28 00:00:00,,Financial Advisory Committee,civicplus_www_08282024-1325,Financial Advisory Committee Agenda Packet 08-28-2024,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_08282024-1325,civic-scraper_0.1.0,application/pdf,2224544
no_data,,no_data,2024-04-29 00:00:00,,Financial Advisory Committee,civicplus_www_04292024-1308,Financial Advisory Committee Agenda Packet 04-29-2024,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_04292024-1308,civic-scraper_0.1.0,application/pdf,5933507
no_data,,no_data,2024-06-10 00:00:00,,Hillsborough Public Improvement Corporation,civicplus_www_06102024-1316,HPIC Meeting Agenda Packet 06-10-2024,agenda,https://www.hillsborough.net/AgendaCenter/ViewFile/Agenda/_06102024-1316,civic-scraper_0.1.0,application/pdf,785515
