place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-20 00:00:00,,City Council,civicplus_www_03202025-825,City Council Regular Meeting Agenda,agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_03202025-825,civic-scraper_0.1.0,application/pdf,36924980
no_data,,no_data,2025-03-20 00:00:00,,City Council,civicplus_www_03202025-826,City Council Special Meeting Agenda (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_03202025-826,civic-scraper_0.1.0,application/pdf,929143
no_data,,no_data,2025-03-06 00:00:00,,City Council,civicplus_www_03062025-822,City Council Regular Meeting Agenda (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_03062025-822,civic-scraper_0.1.0,application/pdf,12667295
no_data,,no_data,2025-03-06 00:00:00,,City Council,civicplus_www_03062025-822,City Council Regular Meeting Agenda (PDF),minutes,https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_03062025-822,civic-scraper_0.1.0,application/pdf,560704
no_data,,no_data,2025-02-27 00:00:00,,City Council,civicplus_www_02272025-818,City Council Special Meeting Agenda (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02272025-818,civic-scraper_0.1.0,application/pdf,502432
no_data,,no_data,2025-02-27 00:00:00,,City Council,civicplus_www_02272025-818,City Council Special Meeting Agenda (PDF),minutes,https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_02272025-818,civic-scraper_0.1.0,application/pdf,384279
no_data,,no_data,2025-02-20 00:00:00,,City Council,civicplus_www_02202025-813,City Council Regular Meeting Agenda (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02202025-813,civic-scraper_0.1.0,application/pdf,86885011
no_data,,no_data,2025-02-20 00:00:00,,City Council,civicplus_www_02202025-813,City Council Regular Meeting Agenda (PDF),minutes,https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_02202025-813,civic-scraper_0.1.0,application/pdf,376887
no_data,,no_data,2025-02-06 00:00:00,,City Council,civicplus_www_02062025-808,City Council Regular Meeting Agenda (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02062025-808,civic-scraper_0.1.0,application/pdf,47015100
no_data,,no_data,2025-02-06 00:00:00,,City Council,civicplus_www_02062025-808,City Council Regular Meeting Agenda (PDF),minutes,https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_02062025-808,civic-scraper_0.1.0,application/pdf,484730
no_data,,no_data,2025-02-06 00:00:00,,City Council,civicplus_www_02062025-810,"Notice of Cancelation - February 6, 2025 Study Session (PDF)",agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02062025-810,civic-scraper_0.1.0,application/pdf,159823
no_data,,no_data,2025-01-16 00:00:00,,City Council,civicplus_www_01162025-805,City Council Regular Meeting Agenda (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_01162025-805,civic-scraper_0.1.0,application/pdf,113216755
no_data,,no_data,2025-01-16 00:00:00,,City Council,civicplus_www_01162025-805,City Council Regular Meeting Agenda (PDF),minutes,https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_01162025-805,civic-scraper_0.1.0,application/pdf,624623
no_data,,no_data,2025-03-13 00:00:00,,Community Development Advisory Committee (CDAC),civicplus_www_03132025-824,Community Development Advisory Committee Meeting (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_03132025-824,civic-scraper_0.1.0,application/pdf,365176
no_data,,no_data,2025-02-27 00:00:00,,Community Development Advisory Committee (CDAC),civicplus_www_02272025-815,Community Development Advisory Committee Meeting (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02272025-815,civic-scraper_0.1.0,application/pdf,735513
no_data,,no_data,2025-01-23 00:00:00,,Community Development Advisory Committee (CDAC),civicplus_www_01232025-807,MEETING AGENDA OF THE COMMUNITY DEVELOPMENT ADVISORY COMMITTEE,agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_01232025-807,civic-scraper_0.1.0,application/pdf,275317
no_data,,no_data,2024-06-11 00:00:00,,Community Development Director Hearing,civicplus_www_06112024-738,COMMUNITY DEVELOPMENT DIRECTOR AGENDA PACKET (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_06112024-738?html=true,civic-scraper_0.1.0,text/html,-1
no_data,,no_data,2024-06-11 00:00:00,,Community Development Director Hearing,civicplus_www_06112024-738,COMMUNITY DEVELOPMENT DIRECTOR AGENDA PACKET (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_06112024-738,civic-scraper_0.1.0,application/pdf,130536
no_data,,no_data,2024-06-11 00:00:00,,Community Development Director Hearing,civicplus_www_06112024-738,COMMUNITY DEVELOPMENT DIRECTOR AGENDA PACKET (PDF),agenda_packet,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_06112024-738?packet=true,civic-scraper_0.1.0,application/pdf,80632137
no_data,,no_data,2024-05-14 00:00:00,,Community Development Director Hearing,civicplus_www_05142024-726,COMMUNITY DEVELOPMENT DIRECTOR AGENDA PACKET (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_05142024-726?html=true,civic-scraper_0.1.0,text/html,-1
no_data,,no_data,2024-05-14 00:00:00,,Community Development Director Hearing,civicplus_www_05142024-726,COMMUNITY DEVELOPMENT DIRECTOR AGENDA PACKET (PDF),agenda,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_05142024-726,civic-scraper_0.1.0,application/pdf,134430
