place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-24 00:00:00,,City Council,civicplus_www_03242025-2484,"March 24, 2025 Regular Meeting - Amended Agenda",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03242025-2484?html=true,civic-scraper_0.1.0,text/html,2395
no_data,,no_data,2025-03-24 00:00:00,,City Council,civicplus_www_03242025-2484,"March 24, 2025 Regular Meeting - Amended Agenda",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03242025-2484,civic-scraper_0.1.0,application/pdf,7051
no_data,,no_data,2025-03-24 00:00:00,,City Council,civicplus_www_03242025-2484,"March 24, 2025 Regular Meeting - Amended Agenda",agenda_packet,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03242025-2484?packet=true,civic-scraper_0.1.0,application/pdf,111827857
no_data,,no_data,2025-03-19 00:00:00,,City Council,civicplus_www_03192025-2485,"March 19, 2025 Special Meeting",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03192025-2485?html=true,civic-scraper_0.1.0,text/html,1552
no_data,,no_data,2025-03-19 00:00:00,,City Council,civicplus_www_03192025-2485,"March 19, 2025 Special Meeting",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03192025-2485,civic-scraper_0.1.0,application/pdf,3672
no_data,,no_data,2025-03-19 00:00:00,,City Council,civicplus_www_03192025-2485,"March 19, 2025 Special Meeting",agenda_packet,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03192025-2485?packet=true,civic-scraper_0.1.0,application/pdf,741620
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-2479,"March 12, 2025 Adjourned Regular Meeting",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03122025-2479?html=true,civic-scraper_0.1.0,text/html,1603
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-2479,"March 12, 2025 Adjourned Regular Meeting",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03122025-2479,civic-scraper_0.1.0,application/pdf,17369
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-2479,"March 12, 2025 Adjourned Regular Meeting",agenda_packet,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03122025-2479?packet=true,civic-scraper_0.1.0,application/pdf,1938348
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-2481,"March 12, 2025 Special Meeting",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03122025-2481,civic-scraper_0.1.0,application/pdf,238251
no_data,,no_data,2025-03-10 00:00:00,,City Council,civicplus_www_03102025-2480,"March 10, 2025 Adjourned Regular Meeting - Notice of Adjournment",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03102025-2480,civic-scraper_0.1.0,application/pdf,120648
no_data,,no_data,2025-03-10 00:00:00,,City Council,civicplus_www_03102025-2476,"March 10, 2025 Regular Meeting - Amended Agenda",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03102025-2476?html=true,civic-scraper_0.1.0,text/html,2251
no_data,,no_data,2025-03-10 00:00:00,,City Council,civicplus_www_03102025-2476,"March 10, 2025 Regular Meeting - Amended Agenda",agenda,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03102025-2476,civic-scraper_0.1.0,application/pdf,25549
no_data,,no_data,2025-03-10 00:00:00,,City Council,civicplus_www_03102025-2476,"March 10, 2025 Regular Meeting - Amended Agenda",agenda_packet,https://www.malibucity.org/AgendaCenter/ViewFile/Agenda/_03102025-2476?packet=true,civic-scraper_0.1.0,application/pdf,9045140
