place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-19 00:00:00,,City Council,civicplus_www_03192025-3057,City Council Regular Meeting - 6:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03192025-3057,civic-scraper_0.1.0,application/pdf,12019627
no_data,,no_data,2025-03-19 00:00:00,,City Council,civicplus_www_03192025-3057,City Council Regular Meeting - 6:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_03192025-3057,civic-scraper_0.1.0,application/pdf,173488
no_data,,no_data,2025-03-19 00:00:00,,City Council,civicplus_www_03192025-3061,City Council Special Meeting - 5:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03192025-3061,civic-scraper_0.1.0,application/pdf,93555
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-3053,City Council Special Meeting - 4:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03122025-3053,civic-scraper_0.1.0,application/pdf,91876
no_data,,no_data,2025-03-12 00:00:00,,City Council,civicplus_www_03122025-3053,City Council Special Meeting - 4:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_03122025-3053,civic-scraper_0.1.0,application/pdf,150200
no_data,,no_data,2025-03-05 00:00:00,,City Council,civicplus_www_03052025-3049,City Council Regular Meeting - 6:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03052025-3049,civic-scraper_0.1.0,application/pdf,9115649
no_data,,no_data,2025-03-05 00:00:00,,City Council,civicplus_www_03052025-3049,City Council Regular Meeting - 6:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_03052025-3049,civic-scraper_0.1.0,application/pdf,167883
no_data,,no_data,2025-03-05 00:00:00,,City Council,civicplus_www_03052025-3050,City Council Regular Meeting - 6:30 p.m. (REVISED - Item No. 1A),agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03052025-3050,civic-scraper_0.1.0,application/pdf,131388
no_data,,no_data,2025-03-05 00:00:00,,City Council,civicplus_www_03052025-3050,City Council Regular Meeting - 6:30 p.m. (REVISED - Item No. 1A),minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_03052025-3050,civic-scraper_0.1.0,application/pdf,167883
no_data,,no_data,2025-02-22 00:00:00,,City Council,civicplus_www_02222025-3043,City Council Special Meeting Strategic Planning Workshop - 9:30 a.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02222025-3043,civic-scraper_0.1.0,application/pdf,118273
no_data,,no_data,2025-02-22 00:00:00,,City Council,civicplus_www_02222025-3043,City Council Special Meeting Strategic Planning Workshop - 9:30 a.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_02222025-3043,civic-scraper_0.1.0,application/pdf,118273
no_data,,no_data,2025-02-19 00:00:00,,City Council,civicplus_www_02192025-3040,City Council Regular Meeting - 6:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02192025-3040,civic-scraper_0.1.0,application/pdf,27754294
no_data,,no_data,2025-02-19 00:00:00,,City Council,civicplus_www_02192025-3040,City Council Regular Meeting - 6:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_02192025-3040,civic-scraper_0.1.0,application/pdf,152467
no_data,,no_data,2025-02-19 00:00:00,,City Council,civicplus_www_02192025-3042,City Council Special Meeting - 5:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02192025-3042,civic-scraper_0.1.0,application/pdf,97223
no_data,,no_data,2025-02-19 00:00:00,,City Council,civicplus_www_02192025-3042,City Council Special Meeting - 5:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_02192025-3042,civic-scraper_0.1.0,application/pdf,103634
no_data,,no_data,2025-02-05 00:00:00,,City Council,civicplus_www_02052025-3036,City Council Regular Meeting - 6:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02052025-3036,civic-scraper_0.1.0,application/pdf,6747084
no_data,,no_data,2025-02-05 00:00:00,,City Council,civicplus_www_02052025-3036,City Council Regular Meeting - 6:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_02052025-3036,civic-scraper_0.1.0,application/pdf,153053
no_data,,no_data,2025-01-21 00:00:00,,City Council,civicplus_www_01212025-3031,City Council Special Meeting - 5:15 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01212025-3031,civic-scraper_0.1.0,application/pdf,2726701
no_data,,no_data,2025-01-21 00:00:00,,City Council,civicplus_www_01212025-3031,City Council Special Meeting - 5:15 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_01212025-3031,civic-scraper_0.1.0,application/pdf,197649
no_data,,no_data,2025-01-15 00:00:00,,City Council,civicplus_www_01152025-3026,City Council Regular Meeting - 6:30 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01152025-3026,civic-scraper_0.1.0,application/pdf,40127061
no_data,,no_data,2025-01-15 00:00:00,,City Council,civicplus_www_01152025-3026,City Council Regular Meeting - 6:30 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_01152025-3026,civic-scraper_0.1.0,application/pdf,258604
no_data,,no_data,2025-01-01 00:00:00,,City Council,civicplus_www_01012025-3022,City Council Regular Meeting - CANCELLED,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01012025-3022,civic-scraper_0.1.0,application/pdf,285420
no_data,,no_data,2025-01-01 00:00:00,,City Council,civicplus_www_01012025-3022,City Council Regular Meeting - CANCELLED,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_01012025-3022,civic-scraper_0.1.0,application/pdf,175880
no_data,,no_data,2025-03-06 00:00:00,,City Council Special Community Meetings,civicplus_www_03062025-3051,City Council Special Community Meeting - Mayor Meetup - 5:00 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03062025-3051,civic-scraper_0.1.0,application/pdf,163551
no_data,,no_data,2025-03-06 00:00:00,,City Council Special Community Meetings,civicplus_www_03062025-3051,City Council Special Community Meeting - Mayor Meetup - 5:00 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_03062025-3051,civic-scraper_0.1.0,application/pdf,166997
no_data,,no_data,2025-03-17 00:00:00,,Aging Commission,civicplus_www_03172025-3055,"Commission on Aging Regular Meeting, 11:00 am",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03172025-3055,civic-scraper_0.1.0,application/pdf,192140
no_data,,no_data,2025-01-20 00:00:00,,Aging Commission,civicplus_www_01202025-3029,Commission on Aging Regular Meeting 11:00 am - Cancelled,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01202025-3029,civic-scraper_0.1.0,application/pdf,258997
no_data,,no_data,2025-01-16 00:00:00,,Business Improvement District Advisory Committee,civicplus_www_01162025-3028,Business Improvement District Advisory Committee Regular Meeting 1/16/25 at 4 pm,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01162025-3028,civic-scraper_0.1.0,application/pdf,346083
no_data,,no_data,2025-03-25 00:00:00,,Community Participation Commission,civicplus_www_03252025-3060,"Joint Recreation and Parks and Community Participation Commission Special Meeting, 6:00 pm",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03252025-3060,civic-scraper_0.1.0,application/pdf,2852139
no_data,,no_data,2025-03-18 00:00:00,,Community Participation Commission,civicplus_www_03182025-3056,Community Participation Commission Meeting 6:00 pm - Cancelled,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03182025-3056,civic-scraper_0.1.0,application/pdf,194844
no_data,,no_data,2025-02-18 00:00:00,,Community Participation Commission,civicplus_www_02182025-3041,Community Participation Commission - Regular Meeting Agenda,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02182025-3041,civic-scraper_0.1.0,application/pdf,98965
no_data,,no_data,2025-01-28 00:00:00,,Community Participation Commission,civicplus_www_01282025-3034,Community Participation Commission Special Meeting,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01282025-3034,civic-scraper_0.1.0,application/pdf,84548
no_data,,no_data,2024-04-22 00:00:00,,Design Review Board,civicplus_www_04222024-2890,"JOINT COMMISSIONS, COMMITTEES, & BOARDS OF MONTEREY PARK SPECIAL MEETING AGENDA - 4/22/24 6:00PM",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_04222024-2890,civic-scraper_0.1.0,application/pdf,574681
no_data,,no_data,2025-03-25 00:00:00,,Economic Development Advisory Commission,civicplus_www_03252025-3064,Economic Development Advisory Committee (EDAC) Regular Meeting CANCELLED,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03252025-3064,civic-scraper_0.1.0,application/pdf,306617
no_data,,no_data,2025-02-25 00:00:00,,Economic Development Advisory Commission,civicplus_www_02252025-3045,Economic Development Advisory Commission (EDAC) Regular Meeting - 7:00 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02252025-3045,civic-scraper_0.1.0,application/pdf,334930
no_data,,no_data,2025-02-25 00:00:00,,Economic Development Advisory Commission,civicplus_www_02252025-3045,Economic Development Advisory Commission (EDAC) Regular Meeting - 7:00 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_02252025-3045,civic-scraper_0.1.0,application/pdf,19421
no_data,,no_data,2025-01-28 00:00:00,,Economic Development Advisory Commission,civicplus_www_01282025-3033,Economic Development Advisory Commission (EDAC) Regular Meeting - 7:00 p.m.,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01282025-3033,civic-scraper_0.1.0,application/pdf,173828
no_data,,no_data,2025-01-28 00:00:00,,Economic Development Advisory Commission,civicplus_www_01282025-3033,Economic Development Advisory Commission (EDAC) Regular Meeting - 7:00 p.m.,minutes,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Minutes/_01282025-3033,civic-scraper_0.1.0,application/pdf,19426
no_data,,no_data,2025-03-26 00:00:00,,Environmental Commission,civicplus_www_03262025-3062,Environmental Commission Regular Meeting,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03262025-3062,civic-scraper_0.1.0,application/pdf,92977
no_data,,no_data,2025-02-26 00:00:00,,Environmental Commission,civicplus_www_02262025-3046,Environmental Commission Regular Meeting,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02262025-3046,civic-scraper_0.1.0,application/pdf,94513
no_data,,no_data,2025-01-22 00:00:00,,Environmental Commission,civicplus_www_01222025-3030,Environmental Commission Regular Meeting,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01222025-3030,civic-scraper_0.1.0,application/pdf,95329
no_data,,no_data,2025-03-18 00:00:00,,Library Board of Trustees,civicplus_www_03182025-3058,Library Board of Trustees 3-18-25,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03182025-3058,civic-scraper_0.1.0,application/pdf,4002061
no_data,,no_data,2025-02-18 00:00:00,,Library Board of Trustees,civicplus_www_02182025-3039,Library Board of Trustees 2-18-25,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02182025-3039,civic-scraper_0.1.0,application/pdf,6615098
no_data,,no_data,2025-01-13 00:00:00,,Library Board of Trustees,civicplus_www_01132025-3024,Library Board of Trustees 1-13-25,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01132025-3024,civic-scraper_0.1.0,application/pdf,3289155
no_data,,no_data,2024-04-22 00:00:00,,Personnel Board,civicplus_www_04222024-2883,"Joint Commissions, Committees and Boards Special Meeting - 6:00 p.m.",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_04222024-2883,civic-scraper_0.1.0,application/pdf,574535
no_data,,no_data,2025-03-25 00:00:00,,Planning Commission,civicplus_www_03252025-3063,Planning Commission Cancellation Notice 03/25/2025,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03252025-3063,civic-scraper_0.1.0,application/pdf,96187
no_data,,no_data,2025-03-11 00:00:00,,Planning Commission,civicplus_www_03112025-3052,Planning Commission Cancellation Notice - 3/11/2025,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03112025-3052,civic-scraper_0.1.0,application/pdf,132860
no_data,,no_data,2025-02-25 00:00:00,,Planning Commission,civicplus_www_02252025-3044,Planning Commission Cancellation Notice - 2/25/2025,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02252025-3044,civic-scraper_0.1.0,application/pdf,132861
no_data,,no_data,2025-02-11 00:00:00,,Planning Commission,civicplus_www_02112025-3037,Planning Commission Agenda - 2/11/2025,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02112025-3037,civic-scraper_0.1.0,application/pdf,4978043
no_data,,no_data,2025-01-28 00:00:00,,Planning Commission,civicplus_www_01282025-3032,Planning Commission Cancellation Notice - 1/28/2025,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01282025-3032,civic-scraper_0.1.0,application/pdf,129267
no_data,,no_data,2025-01-14 00:00:00,,Planning Commission,civicplus_www_01142025-3025,Planning Commission Cancellation Notice - 1/14/2025,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01142025-3025,civic-scraper_0.1.0,application/pdf,134569
no_data,,no_data,2025-03-25 00:00:00,,Recreation and Parks Commission,civicplus_www_03252025-3059,"Joint Recreation and Parks and Community Participation Commission Special Meeting, 6:00 pm",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03252025-3059,civic-scraper_0.1.0,application/pdf,2852139
no_data,,no_data,2025-03-03 00:00:00,,Recreation and Parks Commission,civicplus_www_03032025-3048,"Recreation and Parks Commission Regular Meeting, 6:00pm",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_03032025-3048,civic-scraper_0.1.0,application/pdf,238475
no_data,,no_data,2025-02-03 00:00:00,,Recreation and Parks Commission,civicplus_www_02032025-3035,Recreation and Parks Commission Regular Meeting 6:00pm - Cancelled,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_02032025-3035,civic-scraper_0.1.0,application/pdf,326318
no_data,,no_data,2025-01-06 00:00:00,,Recreation and Parks Commission,civicplus_www_01062025-3023,"Recreation and Parks Commission Regular Meeting, 6:00pm",agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_01062025-3023,civic-scraper_0.1.0,application/pdf,186824
no_data,,no_data,2024-08-29 00:00:00,,Saturn Park Advisory and Recommendation Committee (SPARC),civicplus_www_08292024-2957,SPARC - 8/29/24 @ 6:00PM,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_08292024-2957,civic-scraper_0.1.0,application/pdf,12586295
no_data,,no_data,2024-08-29 00:00:00,,Saturn Park Advisory and Recommendation Committee (SPARC),civicplus_www_08292024-2958,SPARC Meeting 8/29/24 @ 6:00 pm (Supplemental Outreach Report for Item No. 2-A),agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_08292024-2958,civic-scraper_0.1.0,application/pdf,29057560
no_data,,no_data,2024-08-19 00:00:00,,Saturn Park Advisory and Recommendation Committee (SPARC),civicplus_www_08192024-2951,SPARC - 8/19/24 @ 6:30PM,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_08192024-2951,civic-scraper_0.1.0,application/pdf,7358462
no_data,,no_data,2024-08-12 00:00:00,,Saturn Park Advisory and Recommendation Committee (SPARC),civicplus_www_08122024-2944,SPARC - 8/12/24 @ 6:00PM,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_08122024-2944,civic-scraper_0.1.0,application/pdf,218437
no_data,,no_data,2024-07-29 00:00:00,,Saturn Park Advisory and Recommendation Committee (SPARC),civicplus_www_07292024-2937,SPARC - 7/29/24 @ 6:00PM,agenda,https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_07292024-2937,civic-scraper_0.1.0,application/pdf,67832
