place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content_type,content_length
no_data,,no_data,2025-03-25 00:00:00,,Town Council,civicplus_www_03252025-434,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03252025-434,civic-scraper_0.1.0,application/pdf,130671
no_data,,no_data,2025-03-19 00:00:00,,Town Council,civicplus_www_03192025-430,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03192025-430,civic-scraper_0.1.0,application/pdf,130656
no_data,,no_data,2025-03-15 00:00:00,,Town Council,civicplus_www_03152025-427,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03152025-427,civic-scraper_0.1.0,application/pdf,130205
no_data,,no_data,2025-03-14 00:00:00,,Town Council,civicplus_www_03142025-426,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03142025-426,civic-scraper_0.1.0,application/pdf,130245
no_data,,no_data,2025-03-13 00:00:00,,Town Council,civicplus_www_03132025-425,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03132025-425,civic-scraper_0.1.0,application/pdf,130208
no_data,,no_data,2025-03-11 00:00:00,,Town Council,civicplus_www_03112025-423,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03112025-423?html=true,civic-scraper_0.1.0,text/html,3030
no_data,,no_data,2025-03-11 00:00:00,,Town Council,civicplus_www_03112025-423,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03112025-423,civic-scraper_0.1.0,application/pdf,33818
no_data,,no_data,2025-03-11 00:00:00,,Town Council,civicplus_www_03112025-423,Town Council Regular Meeting Materials,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03112025-423?packet=true,civic-scraper_0.1.0,application/pdf,33829
no_data,,no_data,2025-02-25 00:00:00,,Town Council,civicplus_www_02252025-413,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02252025-413?html=true,civic-scraper_0.1.0,text/html,5832
no_data,,no_data,2025-02-25 00:00:00,,Town Council,civicplus_www_02252025-413,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02252025-413,civic-scraper_0.1.0,application/pdf,27196
no_data,,no_data,2025-02-25 00:00:00,,Town Council,civicplus_www_02252025-413,Town Council Regular Meeting Materials,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02252025-413?packet=true,civic-scraper_0.1.0,application/pdf,27205
no_data,,no_data,2025-02-25 00:00:00,,Town Council,civicplus_www_02252025-414,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02252025-414,civic-scraper_0.1.0,application/pdf,131740
no_data,,no_data,2025-02-11 00:00:00,,Town Council,civicplus_www_02112025-402,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02112025-402?html=true,civic-scraper_0.1.0,text/html,3443
no_data,,no_data,2025-02-11 00:00:00,,Town Council,civicplus_www_02112025-402,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02112025-402,civic-scraper_0.1.0,application/pdf,35606
no_data,,no_data,2025-02-11 00:00:00,,Town Council,civicplus_www_02112025-402,Town Council Regular Meeting Materials,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02112025-402?packet=true,civic-scraper_0.1.0,application/pdf,35605
no_data,,no_data,2025-01-28 00:00:00,,Town Council,civicplus_www_01282025-394,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01282025-394?html=true,civic-scraper_0.1.0,text/html,3295
no_data,,no_data,2025-01-28 00:00:00,,Town Council,civicplus_www_01282025-394,Town Council Regular Meeting Materials,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01282025-394,civic-scraper_0.1.0,application/pdf,30272
no_data,,no_data,2025-01-28 00:00:00,,Town Council,civicplus_www_01282025-394,Town Council Regular Meeting Materials,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01282025-394?packet=true,civic-scraper_0.1.0,application/pdf,30282
no_data,,no_data,2025-01-28 00:00:00,,Town Council,civicplus_www_01282025-393,Town Council Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01282025-393,civic-scraper_0.1.0,application/pdf,136138
no_data,,no_data,2025-01-14 00:00:00,,Town Council,civicplus_www_01142025-385,Town Council Regular Meeting Materials.,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01142025-385?html=true,civic-scraper_0.1.0,text/html,4504
no_data,,no_data,2025-01-14 00:00:00,,Town Council,civicplus_www_01142025-385,Town Council Regular Meeting Materials.,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01142025-385,civic-scraper_0.1.0,application/pdf,40062
no_data,,no_data,2025-01-14 00:00:00,,Town Council,civicplus_www_01142025-385,Town Council Regular Meeting Materials.,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01142025-385?packet=true,civic-scraper_0.1.0,application/pdf,40079
no_data,,no_data,2025-03-17 00:00:00,,Architectural & Site Review Board,civicplus_www_03172025-422,Architectural and Site Review Board Regular Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03172025-422?html=true,civic-scraper_0.1.0,text/html,4472
no_data,,no_data,2025-03-17 00:00:00,,Architectural & Site Review Board,civicplus_www_03172025-422,Architectural and Site Review Board Regular Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03172025-422,civic-scraper_0.1.0,application/pdf,49240
no_data,,no_data,2025-03-17 00:00:00,,Architectural & Site Review Board,civicplus_www_03172025-422,Architectural and Site Review Board Regular Meeting,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03172025-422?packet=true,civic-scraper_0.1.0,application/pdf,49263
no_data,,no_data,2025-03-03 00:00:00,,Architectural & Site Review Board,civicplus_www_03032025-411,Architectural and Site Review Board Regular Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03032025-411?html=true,civic-scraper_0.1.0,text/html,5976
no_data,,no_data,2025-03-03 00:00:00,,Architectural & Site Review Board,civicplus_www_03032025-411,Architectural and Site Review Board Regular Meeting,minutes,https://www.woodsideca.gov/AgendaCenter/ViewFile/Minutes/_03032025-411,civic-scraper_0.1.0,application/pdf,164799
no_data,,no_data,2025-03-03 00:00:00,,Architectural & Site Review Board,civicplus_www_03032025-411,Architectural and Site Review Board Regular Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03032025-411,civic-scraper_0.1.0,application/pdf,63762
no_data,,no_data,2025-03-03 00:00:00,,Architectural & Site Review Board,civicplus_www_03032025-411,Architectural and Site Review Board Regular Meeting,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03032025-411?packet=true,civic-scraper_0.1.0,application/pdf,63784
no_data,,no_data,2025-02-24 00:00:00,,Architectural & Site Review Board,civicplus_www_02242025-408,Architectural and Site Review Board Special Meeting - Cancelled (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02242025-408,civic-scraper_0.1.0,application/pdf,123024
no_data,,no_data,2025-02-17 00:00:00,,Architectural & Site Review Board,civicplus_www_02172025-407,Architectural and Site Review Board Regular Meeting - Cancelled (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02172025-407,civic-scraper_0.1.0,application/pdf,123400
no_data,,no_data,2025-02-03 00:00:00,,Architectural & Site Review Board,civicplus_www_02032025-395,Architectural and Site Review Board Regular Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02032025-395?html=true,civic-scraper_0.1.0,text/html,4395
no_data,,no_data,2025-02-03 00:00:00,,Architectural & Site Review Board,civicplus_www_02032025-395,Architectural and Site Review Board Regular Meeting,minutes,https://www.woodsideca.gov/AgendaCenter/ViewFile/Minutes/_02032025-395,civic-scraper_0.1.0,application/pdf,152548
no_data,,no_data,2025-02-03 00:00:00,,Architectural & Site Review Board,civicplus_www_02032025-395,Architectural and Site Review Board Regular Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02032025-395,civic-scraper_0.1.0,application/pdf,48554
no_data,,no_data,2025-02-03 00:00:00,,Architectural & Site Review Board,civicplus_www_02032025-395,Architectural and Site Review Board Regular Meeting,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02032025-395?packet=true,civic-scraper_0.1.0,application/pdf,48594
no_data,,no_data,2025-01-27 00:00:00,,Architectural & Site Review Board,civicplus_www_01272025-391,Architectural and Site Review Board Special Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01272025-391?html=true,civic-scraper_0.1.0,text/html,4785
no_data,,no_data,2025-01-27 00:00:00,,Architectural & Site Review Board,civicplus_www_01272025-391,Architectural and Site Review Board Special Meeting,minutes,https://www.woodsideca.gov/AgendaCenter/ViewFile/Minutes/_01272025-391,civic-scraper_0.1.0,application/pdf,163844
no_data,,no_data,2025-01-27 00:00:00,,Architectural & Site Review Board,civicplus_www_01272025-391,Architectural and Site Review Board Special Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01272025-391,civic-scraper_0.1.0,application/pdf,49100
no_data,,no_data,2025-01-27 00:00:00,,Architectural & Site Review Board,civicplus_www_01272025-391,Architectural and Site Review Board Special Meeting,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01272025-391?packet=true,civic-scraper_0.1.0,application/pdf,49135
no_data,,no_data,2025-01-13 00:00:00,,Architectural & Site Review Board,civicplus_www_01132025-378,Architectural and Site Review Board Special Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01132025-378?html=true,civic-scraper_0.1.0,text/html,4254
no_data,,no_data,2025-01-13 00:00:00,,Architectural & Site Review Board,civicplus_www_01132025-378,Architectural and Site Review Board Special Meeting,minutes,https://www.woodsideca.gov/AgendaCenter/ViewFile/Minutes/_01132025-378,civic-scraper_0.1.0,application/pdf,181094
no_data,,no_data,2025-01-13 00:00:00,,Architectural & Site Review Board,civicplus_www_01132025-378,Architectural and Site Review Board Special Meeting,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01132025-378,civic-scraper_0.1.0,application/pdf,65263
no_data,,no_data,2025-01-13 00:00:00,,Architectural & Site Review Board,civicplus_www_01132025-378,Architectural and Site Review Board Special Meeting,agenda_packet,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01132025-378?packet=true,civic-scraper_0.1.0,application/pdf,65291
no_data,,no_data,2025-01-06 00:00:00,,Architectural & Site Review Board,civicplus_www_01062025-375,Architectural and Site Review Board Meeting - Cancelled,agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01062025-375,civic-scraper_0.1.0,application/pdf,123412
no_data,,no_data,2025-03-13 00:00:00,,Arts & Culture Committee,civicplus_www_03132025-420,Arts and Culture Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03132025-420,civic-scraper_0.1.0,application/pdf,60204
no_data,,no_data,2025-02-13 00:00:00,,Arts & Culture Committee,civicplus_www_02132025-403,Arts and Culture Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02132025-403,civic-scraper_0.1.0,application/pdf,42005
no_data,,no_data,2025-01-09 00:00:00,,Arts & Culture Committee,civicplus_www_01092025-380,Arts and Culture Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01092025-380,civic-scraper_0.1.0,application/pdf,41816
no_data,,no_data,2025-01-09 00:00:00,,Arts & Culture Committee,civicplus_www_01092025-380,Arts and Culture Committee Regular Meeting Agenda (PDF),minutes,https://www.woodsideca.gov/AgendaCenter/ViewFile/Minutes/_01092025-380,civic-scraper_0.1.0,application/pdf,70866
no_data,,no_data,2025-02-27 00:00:00,,Audit Committee,civicplus_www_02272025-410,Audit Committee Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02272025-410,civic-scraper_0.1.0,application/pdf,41156
no_data,,no_data,2025-01-24 00:00:00,,Audit Committee,civicplus_www_01242025-387,Audit Committee Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01242025-387,civic-scraper_0.1.0,application/pdf,39678
no_data,,no_data,2025-01-24 00:00:00,,Audit Committee,civicplus_www_01242025-387,Audit Committee Special Meeting Agenda (PDF),minutes,https://www.woodsideca.gov/AgendaCenter/ViewFile/Minutes/_01242025-387,civic-scraper_0.1.0,application/pdf,97609
no_data,,no_data,2025-03-20 00:00:00,,Circulation Committee,civicplus_www_03202025-429,Circulation Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03202025-429,civic-scraper_0.1.0,application/pdf,94902
no_data,,no_data,2025-02-20 00:00:00,,Circulation Committee,civicplus_www_02202025-409,Circulation Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02202025-409,civic-scraper_0.1.0,application/pdf,62982
no_data,,no_data,2025-01-16 00:00:00,,Circulation Committee,civicplus_www_01162025-386,Circulation Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01162025-386,civic-scraper_0.1.0,application/pdf,42542
no_data,,no_data,2025-03-24 00:00:00,,Climate & Sustainability Committee,civicplus_www_03242025-431,Climate and Sustainability Committee Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03242025-431,civic-scraper_0.1.0,application/pdf,41333
no_data,,no_data,2025-03-18 00:00:00,,Climate & Sustainability Committee,civicplus_www_03182025-428,Climate and Sustainability Committee Regular Meeting Agenda - Cancelled (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_03182025-428,civic-scraper_0.1.0,application/pdf,41534
no_data,,no_data,2025-02-10 00:00:00,,Climate & Sustainability Committee,civicplus_www_02102025-405,Climate and Sustainability Committee Special Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_02102025-405,civic-scraper_0.1.0,application/pdf,41422
no_data,,no_data,2025-01-21 00:00:00,,Climate & Sustainability Committee,civicplus_www_01212025-389,Climate and Sustainability Committee Regular Meeting Agenda (PDF),agenda,https://www.woodsideca.gov/AgendaCenter/ViewFile/Agenda/_01212025-389,civic-scraper_0.1.0,application/pdf,41637
