All Public Meetings,,,,,,,"Instructions: Drinks & Agendas; If a public meeting is discussing that city's housing element, add the meeting to our map/database at www.fairhousingelements.org/calendar-form",Week of 6/25,Week of 7/8,Week of 7/16,Week of 8/5,Week of 8/12,Week of 8/26,Week of 1/13,Week of 1/20,Week of 2/03,Week of 3/17,# of agendas checked this week!/Whether Housing Element has been adopted from Jan 31 - today,www.fairhousingelements.org/calendar-form
County,Jurisdiction,Priority,Decision Maker,RHNA,HCD Status,Meeting Schedule,Agenda Page,,,,,,,,,,,,
Alameda,Piedmont,,City Council,587,,"1st Monday, 3rd Monday",http://piedmont.hosted.civiclive.com/cms/One.aspx?portalId=13659823&pageId=14120431,JF - Yes,,,,,,No,,,,,
Alameda,Piedmont,,Planning Commission,587,,2nd Monday,https://piedmont.ca.gov/government/commissions___committees/planning_commission,,,,,,,,,No,,,
Alameda,Albany,,City Council,1125,,"1st Monday, 3rd Monday",https://www.albanyca.org/our-city/kalb-community-media/city-council-video-and-agendas,JF - No,,,,,,No,,,,,
Alameda,Albany,,Planning Commission,1125,,"2nd Wednesday, 4th Wednesday",https://www.albanyca.org/government/council-advisory-body-documents/advisory-body-documents/-folder-612#docan1734_6194_4044,,,,,,,,,No,Cancelled,JF,
Alameda,Emeryville,,City Council,1832,,"1st Tuesday, 3rd Tuesday",https://www.ci.emeryville.ca.us/88/Video-Agendas-Reports-Minutes-Archive,JF - No,,,,,,No,,,,,
Alameda,Emeryville,,Planning Commission,1832,,4th Thursday,http://www.emeryville.org/104/Planning-Commission,,,,,,,,,,No,JF,
Alameda,Newark,,City Council,1891,,"2nd Thursday, 4th Thursday",https://www.newark.org/departments/city-manager-s-office/agendas-minutes,,,,,,,,,No,No,JF,
Alameda,Union City,,Planning Commission,2287,,"1st Thursday, 3rd Thursday",https://www.unioncity.org/199/City-Meetings-Video,JF - No,,,,,,No,,,,,
Alameda,Dublin,,City Council,3719,,"1st Tuesday, 3rd Tuesday",https://dublin.ca.gov/82/City-Council-Meetings,JF - No,,,,,,Yes,,,,,
Alameda,Dublin,,Planning Commission,3719,,"2nd Tuesday, 4th Tuesday",https://www.dublin.ca.gov/83/Planning-Commission,,,,,,,,No,Cancelled,No,JF,
Alameda,San Leandro,,City Council,3887,,"1st Monday, 3rd Monday",https://sanleandro.legistar.com/Calendar.aspx,JF - No,,,,,,No,,,,,
Alameda,Livermore,,Planning Commission,4449,,"1st Tuesday, 3rd Tuesday",https://www.livermoreca.gov/departments/city-clerk/city-council-meeting-calendar-agendas,JF - No,,,,,,No,,,,,
Alameda,Livermore,,City Council,4449,,"2nd Monday, 4th Monday",https://www.livermoreca.gov/departments/city-clerk/city-council-meeting-calendar-agendas,,,,,,,,No,No,Yes,LTR,
Alameda,Hayward,,City Council,4664,,"1st Tuesday, 3rd Tuesday, 4th Tuesday",https://hayward.legistar.com/Calendar.aspx,JF - Cancelled,,,,,,No,Yes,,Yes,LTR,
Alameda,Alameda,A,City Council,5406,,"1st Tuesday, 3rd Tuesday",https://alameda.legistar.com/Calendar.aspx,JF - No,,,,,,No,,,,,
